name,Population,Cluster1,Cluster2,Cluster3
Ind1,Mandenka,0.9999799800000008,1.002000000000001e-05,1.0000000000000013e-05
Ind2,Mandenka,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind3,Mandenka,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind4,Mandenka,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind5,Mandenka,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind6,Mandenka,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind7,Mandenka,0.9999799200000004,1.0000000000000013e-05,1.0080000000000012e-05
Ind8,Mandenka,0.9999799000000004,1.0000000000000013e-05,1.0100000000000012e-05
Ind9,Mandenka,0.9999798800000004,1.0120000000000012e-05,1.0000000000000013e-05
Ind10,Mandenka,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind11,Mandenka,0.9999799800000004,1.0000000000000013e-05,1.0020000000000014e-05
Ind12,Mandenka,0.9999799600000004,1.0040000000000012e-05,1.0000000000000013e-05
Ind13,Mandenka,0.9999798600000004,1.0000000000000013e-05,1.0140000000000011e-05
Ind14,Mandenka,0.9706149800000003,0.0293750199999999,1.0000000000000013e-05
Ind15,Mandenka,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind16,Mandenka,0.9999797400000004,1.0260000000000012e-05,1.0000000000000013e-05
Ind17,Mandenka,0.9999799200000004,1.0080000000000012e-05,1.0000000000000013e-05
Ind18,Mandenka,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind19,Mandenka,0.9999799600000004,1.0040000000000012e-05,1.0000000000000013e-05
Ind20,Mandenka,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind21,Mandenka,0.9999798800000004,1.0120000000000012e-05,1.0000000000000013e-05
Ind22,Mandenka,0.9999798600000004,1.0140000000000011e-05,1.0000000000000013e-05
Ind23,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind24,Gambian,0.9670679199999996,0.0329220799999999,1.0000000000000013e-05
Ind25,Gambian,0.9999796800000004,1.0000000000000013e-05,1.0320000000000016e-05
Ind26,Gambian,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind27,Gambian,0.9724609000000004,0.0275290999999999,1.0000000000000013e-05
Ind28,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind29,Gambian,0.9995791399999998,0.00041086,1.0000000000000013e-05
Ind30,Gambian,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind31,Gambian,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind32,Gambian,0.9975549799999992,1.0000000000000013e-05,0.00243502
Ind33,Gambian,0.9769667399999998,0.02302326,1.0000000000000013e-05
Ind34,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind35,Gambian,0.9999799200000004,1.0080000000000012e-05,1.0000000000000013e-05
Ind36,Gambian,0.9999799800000008,1.002000000000001e-05,1.0000000000000013e-05
Ind37,Gambian,0.9999798000000004,1.020000000000001e-05,1.0000000000000013e-05
Ind38,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind39,Gambian,0.9999796400000004,1.036000000000001e-05,1.0000000000000013e-05
Ind40,Gambian,0.9980119800000004,1.0000000000000013e-05,0.0019780199999999
Ind41,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind42,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind43,Gambian,0.9803170199999997,0.01967298,1.0000000000000013e-05
Ind44,Gambian,0.9508690799999996,0.0491209199999999,1.0000000000000013e-05
Ind45,Gambian,0.9999799000000004,1.0000000000000013e-05,1.0100000000000012e-05
Ind46,Gambian,0.9999798800000004,1.0120000000000012e-05,1.0000000000000013e-05
Ind47,Gambian,0.9999798800000004,1.0120000000000012e-05,1.0000000000000013e-05
Ind48,Gambian,0.9999798800000004,1.0000000000000013e-05,1.0120000000000012e-05
Ind49,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind50,Gambian,0.9844568999999996,0.0155331,1.0000000000000013e-05
Ind51,Gambian,0.9999799200000004,1.0000000000000013e-05,1.0080000000000012e-05
Ind52,Gambian,0.9938839600000005,0.0061060399999999,1.0000000000000013e-05
Ind53,Gambian,0.9999799000000004,1.0000000000000013e-05,1.0100000000000012e-05
Ind54,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind55,Gambian,0.9840449599999996,0.0159450399999999,1.0000000000000013e-05
Ind56,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind57,Gambian,0.9819519599999998,0.01803804,1.0000000000000013e-05
Ind58,Gambian,0.9979206,0.0020694,1.0000000000000013e-05
Ind59,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind60,Gambian,0.9741419600000004,0.02584804,1.0000000000000013e-05
Ind61,Gambian,0.9999797800000008,1.0220000000000012e-05,1.0000000000000013e-05
Ind62,Gambian,0.9999799000000004,1.0100000000000012e-05,1.0000000000000013e-05
Ind63,Gambian,0.9999800000000006,1.0000000000000013e-05,1.0000000000000013e-05
Ind64,Gambian,0.9886857,0.0113042999999999,1.0000000000000013e-05
Ind65,Gambian,0.9999798800000004,1.0120000000000012e-05,1.0000000000000013e-05
