name,Population,Cluster1,Cluster2,Cluster3,Cluster4
Ind1,Mandenka,0.972410818181818,1e-05,1e-05,0.0275691818181818
Ind2,Mandenka,0.9790483636363636,1e-05,1e-05,0.0209316363636363
Ind3,Mandenka,0.976784,1e-05,1e-05,0.023196
Ind4,Mandenka,0.966302818181818,1e-05,1e-05,0.0336771818181818
Ind5,Mandenka,0.818159090909091,1e-05,1e-05,0.1818209090909091
Ind6,Mandenka,0.9689269090909088,1.0181818181818182e-05,1e-05,0.031052909090909
Ind7,Mandenka,0.9745245454545453,1e-05,1e-05,0.0254554545454545
Ind8,Mandenka,0.9775141818181816,1e-05,1e-05,0.0224658181818181
Ind9,Mandenka,0.9749055454545452,1.0818181818181818e-05,1e-05,0.0250736363636363
Ind10,Mandenka,0.9666869090909088,1.1363636363636365e-05,1e-05,0.0332917272727272
Ind11,Mandenka,0.8752809999999999,1e-05,1e-05,0.124699
Ind12,Mandenka,0.964202181818182,1e-05,1e-05,0.0357778181818181
Ind13,Mandenka,0.9800089090909092,1e-05,1e-05,0.0199710909090909
Ind14,Mandenka,0.9534026363636364,0.0183177272727272,1e-05,0.0282697272727272
Ind15,Mandenka,0.973538636363636,1.0272727272727272e-05,1e-05,0.0264410909090909
Ind16,Mandenka,0.9780653636363636,1e-05,1e-05,0.0219146363636363
Ind17,Mandenka,0.9744510909090908,1e-05,1e-05,0.025528909090909
Ind18,Mandenka,0.9692610909090908,1e-05,1e-05,0.030718909090909
Ind19,Mandenka,0.979107,1e-05,1e-05,0.020873
Ind20,Mandenka,0.976432,1e-05,1e-05,0.023548
Ind21,Mandenka,0.8181589090909092,1.0181818181818182e-05,1e-05,0.1818209090909091
Ind22,Mandenka,0.9743824545454544,1e-05,1e-05,0.0255975454545454
Ind23,Gambian,0.9968765454545454,1e-05,1e-05,0.0031034545454545
Ind24,Gambian,0.966337818181818,0.0192693636363636,1e-05,0.0143828181818181
Ind25,Gambian,0.993001272727273,1e-05,1e-05,0.0069787272727272
Ind26,Gambian,0.9994776363636364,1e-05,1e-05,0.0005023636363636
Ind27,Gambian,0.9710858181818184,0.0260285454545454,1e-05,0.0028756363636363
Ind28,Gambian,0.9933379090909088,1.0363636363636364e-05,1e-05,0.0066417272727272
Ind29,Gambian,0.9888880909090908,0.0011787272727272,1e-05,0.0099231818181818
Ind30,Gambian,0.9851269090909088,1e-05,1e-05,0.0148530909090909
Ind31,Gambian,0.997881818181818,1e-05,1.0090909090909092e-05,0.0020980909090909
Ind32,Gambian,0.989266,0.0003729999999999,0.002061909090909,0.0082990909090909
Ind33,Gambian,0.9684819090909093,0.0210873636363636,1e-05,0.0104208181818181
Ind34,Gambian,0.995929818181818,1e-05,1e-05,0.0040501818181818
Ind35,Gambian,0.99997,1e-05,1e-05,1e-05
Ind36,Gambian,0.9999692727272728,1e-05,1e-05,1.0727272727272727e-05
Ind37,Gambian,0.9903386363636366,1.0636363636363636e-05,1e-05,0.0096407272727272
Ind38,Gambian,0.9896544545454544,1e-05,1e-05,0.0103255454545454
Ind39,Gambian,0.9944797272727272,1e-05,1e-05,0.0055002727272727
Ind40,Gambian,0.9942041818181816,1e-05,0.0015132727272727,0.0042725454545454
Ind41,Gambian,0.9970400909090908,1e-05,1e-05,0.002939909090909
Ind42,Gambian,0.99997,1e-05,1e-05,1e-05
Ind43,Gambian,0.9677324545454544,0.0135593636363636,1e-05,0.0186983636363636
Ind44,Gambian,0.9448690909090908,0.0406373636363636,1e-05,0.0144834545454545
Ind45,Gambian,0.9867765454545456,7.254545454545457e-05,1.5818181818181818e-05,0.0131350909090909
Ind46,Gambian,0.998488,1e-05,1e-05,0.001492
Ind47,Gambian,0.99997,1e-05,1e-05,1e-05
Ind48,Gambian,0.99663,1e-05,1.0454545454545451e-05,0.0033495454545454
Ind49,Gambian,0.993265909090909,1e-05,1e-05,0.0067140909090909
Ind50,Gambian,0.9693629090909092,0.0133711818181818,1e-05,0.017255909090909
Ind51,Gambian,0.989127818181818,1e-05,1.0545454545454544e-05,0.0108517272727272
Ind52,Gambian,0.9858406363636364,0.0045291818181818,1e-05,0.0096201818181818
Ind53,Gambian,0.99997,1e-05,1e-05,1e-05
Ind54,Gambian,0.9963190909090908,1e-05,1e-05,0.003660909090909
Ind55,Gambian,0.9802256363636364,0.0027223636363636,0.0015456363636363,0.0155062727272727
Ind56,Gambian,0.989284818181818,1e-05,1e-05,0.0106951818181818
Ind57,Gambian,0.9639657272727272,0.0132761818181818,1e-05,0.0227480909090909
Ind58,Gambian,0.9967647272727272,0.0020092727272727,1e-05,0.001216
Ind59,Gambian,0.9943822727272728,1.0090909090909092e-05,1e-05,0.0055976363636363
Ind60,Gambian,0.9677688181818184,0.0215626363636363,1e-05,0.0106585454545454
Ind61,Gambian,0.99997,1e-05,1e-05,1e-05
Ind62,Gambian,0.996510636363636,1e-05,1e-05,0.0034693636363636
Ind63,Gambian,0.9913204545454544,1e-05,1e-05,0.0086595454545454
Ind64,Gambian,0.9752400909090908,0.0054638181818181,1e-05,0.019286
Ind65,Gambian,0.9824205454545452,1e-05,1.0090909090909092e-05,0.0175593636363636
Ind66,Gambian,0.996973636363636,1e-05,1e-05,0.0030063636363636
