name,Population,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5
Ind1,Mandenka,0.1009686666666667,1e-05,1e-05,0.8707298333333331,0.0282814999999999
Ind2,Mandenka,0.1289402222222223,1e-05,1e-05,0.8335765555555553,0.0374631666666666
Ind3,Mandenka,0.1312366666666666,1e-05,1e-05,0.8417255555555555,0.0270177777777777
Ind4,Mandenka,0.0984857777777778,1.05e-05,1e-05,0.901483722222222,1e-05
Ind5,Mandenka,0.0555631111111111,1e-05,1e-05,0.8333008888888886,0.111116
Ind6,Mandenka,0.0993851111111111,1e-05,1e-05,0.8705564444444441,0.0300384444444444
Ind7,Mandenka,0.3815745555555556,1.0388888888888887e-05,1.0111111111111113e-05,0.5979193888888888,0.0204856111111111
Ind8,Mandenka,0.2022226666666667,1e-05,1.0333333333333332e-05,0.7698069444444443,0.0279500555555555
Ind9,Mandenka,0.1343395555555556,1e-05,1e-05,0.8416477222222221,0.0239927222222222
Ind10,Mandenka,0.0991266111111111,1e-05,1e-05,0.9004862222222221,0.0003671666666666
Ind11,Mandenka,0.0555627777777778,1e-05,1e-05,0.8710253333333331,0.0733918888888889
Ind12,Mandenka,0.1370818888888889,1e-05,1e-05,0.8288422777777776,0.0340558333333333
Ind13,Mandenka,0.1964074444444444,1e-05,1e-05,0.7862766111111109,0.0172959444444444
Ind14,Mandenka,0.5034729444444443,0.0243707777777777,1e-05,0.4345384444444445,0.0376078888888888
Ind15,Mandenka,0.1010170555555555,1e-05,1e-05,0.8701327777777776,0.0288301666666666
Ind16,Mandenka,0.1026541666666666,1e-05,1e-05,0.8809620555555554,0.0163637777777777
Ind17,Mandenka,0.1019197777777778,1e-05,1e-05,0.8980502222222222,1e-05
Ind18,Mandenka,0.1379141111111111,1e-05,1e-05,0.8233009999999998,0.0387648888888888
Ind19,Mandenka,0.1027181666666667,1e-05,1.0166666666666669e-05,0.8972516666666666,1e-05
Ind20,Mandenka,0.4963098888888889,1e-05,1e-05,0.4769125555555556,0.0267575
