name,Population,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5
Ind1,Mandenka,0.0585453571428571,1e-05,1e-05,0.9414246428571428,1e-05
Ind2,Mandenka,0.0844863571428571,1e-05,1e-05,0.9154836428571426,1e-05
Ind3,Mandenka,0.0603326428571428,1e-05,1e-05,0.939637357142857,1e-05
Ind4,Mandenka,0.0554711428571428,1e-05,1e-05,0.944498857142857,1e-05
Ind5,Mandenka,1e-05,1e-05,1e-05,0.9999599999999998,1e-05
Ind6,Mandenka,0.0564642857142856,1e-05,1e-05,0.943505714285714,1e-05
Ind7,Mandenka,0.3618453571428571,1e-05,1e-05,0.6381246428571429,1e-05
Ind8,Mandenka,0.1331694285714286,1e-05,1.0071428571428572e-05,0.8668004999999999,1e-05
Ind9,Mandenka,0.079447,1e-05,1e-05,0.920523,1e-05
Ind10,Mandenka,0.0558075714285713,1e-05,1e-05,0.9441624285714284,1e-05
Ind11,Mandenka,1e-05,1e-05,1e-05,0.9999599999999998,1e-05
Ind12,Mandenka,0.0537356428571428,1e-05,1e-05,0.9462343571428568,1e-05
Ind13,Mandenka,0.1642016428571428,1e-05,1e-05,0.8357683571428569,1e-05
Ind14,Mandenka,0.4997025714285714,0.0117670714285714,1e-05,0.472669,0.0158514285714285
Ind15,Mandenka,0.0584376428571428,1e-05,1e-05,0.941532357142857,1e-05
Ind16,Mandenka,0.0606690714285714,1e-05,1e-05,0.9393009285714284,1e-05
Ind17,Mandenka,0.0594434999999999,1.05e-05,1e-05,0.940526,1e-05
Ind18,Mandenka,0.0936578571428571,1.0071428571428572e-05,1e-05,0.9063120714285712,1e-05
Ind19,Mandenka,0.0607078571428571,1e-05,1e-05,0.9392621428571428,1e-05
Ind20,Mandenka,0.4743631428571428,1e-05,1e-05,0.5256068571428572,1e-05
Ind21,Mandenka,1e-05,1e-05,1e-05,0.9999599999999998,1e-05
Ind22,Mandenka,0.5134145714285714,1e-05,1e-05,0.4865554285714286,1e-05
Ind23,Gambian,0.9983055,1e-05,1e-05,0.0016644999999999,1e-05
Ind24,Gambian,0.9751830714285712,0.0247869285714285,1e-05,1e-05,1e-05
Ind25,Gambian,0.7342227142857143,1e-05,1e-05,0.2657472857142857,1e-05
Ind26,Gambian,0.8139958571428573,1e-05,1e-05,0.1859741428571428,1e-05
Ind27,Gambian,0.7678680714285712,0.0210153571428571,0.0018812142857142,0.2053632857142857,0.0038722142857142
Ind28,Gambian,0.7629564999999998,1e-05,1e-05,0.2370135,1e-05
Ind29,Gambian,0.7595334285714285,0.0004222857142857,1e-05,0.2400242857142857,1e-05
Ind30,Gambian,0.6399695000000001,1e-05,1e-05,0.3600005,1e-05
Ind31,Gambian,0.7329837857142855,1e-05,1e-05,0.2669862142857143,1e-05
Ind32,Gambian,0.7300785714285712,1e-05,0.0014178571428571,0.2674325714285714,0.0010610714285714
Ind33,Gambian,0.6574087857142857,0.0231617142857142,1e-05,0.3194094999999999,1e-05
Ind34,Gambian,0.7852226428571427,1.0357142857142856e-05,1e-05,0.214747,1e-05
Ind35,Gambian,0.9116181428571428,1e-05,1e-05,0.0883518571428571,1e-05
Ind36,Gambian,0.9999599999999998,1e-05,1e-05,1e-05,1e-05
Ind37,Gambian,0.8095188571428573,1e-05,9.80714285714286e-05,0.1903630714285714,1e-05
Ind38,Gambian,0.7494582857142856,1e-05,1e-05,0.2502944285714286,0.0002272857142857
Ind39,Gambian,0.6951827142857143,1.042857142857143e-05,1e-05,0.3047868571428571,1e-05
Ind40,Gambian,0.8901279285714285,1e-05,1e-05,0.1087217142857142,0.0011304285714285
Ind41,Gambian,0.8800652857142854,1e-05,1e-05,0.1199047142857142,1e-05
Ind42,Gambian,0.9999599999999998,1e-05,1e-05,1e-05,1e-05
Ind43,Gambian,0.7857202857142856,0.0076543571428571,1e-05,0.1957980714285714,0.0108171428571428
Ind44,Gambian,0.7161845,0.0497027857142857,1.0714285714285716e-05,0.2340919285714285,1e-05
Ind45,Gambian,0.6951563571428571,1e-05,0.0001014285714285,0.3047220714285714,1e-05
Ind46,Gambian,0.7999778571428573,1.0571428571428572e-05,1e-05,0.1999915714285714,1e-05
Ind47,Gambian,0.8910749285714284,1e-05,1e-05,0.1088950714285714,1e-05
Ind48,Gambian,0.7280799999999998,1e-05,1e-05,0.2718897857142857,1.0285714285714286e-05
Ind49,Gambian,0.8155374285714286,1e-05,1.0142857142857144e-05,0.1844324285714285,1e-05
Ind50,Gambian,0.6487742857142857,0.0131602857142857,1e-05,0.3355674285714286,0.0024877857142857
Ind51,Gambian,0.6889250714285715,1e-05,1e-05,0.3110449285714285,1e-05
Ind52,Gambian,0.769065357142857,0.0062774285714285,1e-05,0.2246373571428571,1e-05
Ind53,Gambian,0.9999599999999998,1e-05,1e-05,1e-05,1e-05
Ind54,Gambian,0.8674277142857142,1e-05,1e-05,0.1325422142857142,1.0071428571428572e-05
Ind55,Gambian,0.9893374285714284,0.0087596428571428,0.0011731428571428,0.0007198571428571,1e-05
Ind56,Gambian,0.8110855,1e-05,1e-05,0.1888845,1e-05
Ind57,Gambian,0.6227095714285715,0.0172582857142857,1e-05,0.3600116428571428,1.057142857142857e-05
Ind58,Gambian,0.9099435714285714,0.0002669285714285,1e-05,0.0896710714285714,0.0001084285714285
Ind59,Gambian,0.7584893571428571,1e-05,1e-05,0.2414806428571428,1e-05
Ind60,Gambian,0.719034,0.0119134999999999,0.0017188571428571,0.2564657142857143,0.0108680714285714
Ind61,Gambian,0.9999599999999998,1e-05,1e-05,1e-05,1e-05
Ind62,Gambian,0.7732468571428571,1e-05,1e-05,0.2267231428571428,1e-05
Ind63,Gambian,0.7809097857142857,1e-05,1e-05,0.2190602142857142,1e-05
Ind64,Gambian,0.7064817857142857,1.0357142857142856e-05,0.0008126428571428,0.2806958571428572,0.0119993571428571
Ind65,Gambian,0.5469372142857144,1e-05,1e-05,0.4530327857142857,1e-05
Ind66,Gambian,0.7605421428571427,1e-05,1e-05,0.2394278571428572,1e-05
Ind67,Gambian,0.8438106428571427,1.042857142857143e-05,1e-05,0.1561589285714285,1e-05
Ind68,Gambian,0.7421350714285715,1e-05,1e-05,0.2578349285714285,1e-05
Ind69,Gambian,0.760310857142857,1e-05,0.0009425714285714,0.2345298571428572,0.0042067857142857
Ind70,Gambian,0.7984869999999998,1e-05,1e-05,0.2014829999999999,1e-05
Ind71,Gambian,0.7115317857142857,1e-05,1e-05,0.2884382142857142,1e-05
Ind72,Gambian,0.7233502857142856,0.0046412142857142,1e-05,0.2696182857142857,0.0023799285714285
Ind73,Gambian,0.814066642857143,1e-05,1e-05,0.1859033571428571,1e-05
Ind74,Gambian,0.7590137142857144,1e-05,1e-05,0.2409561428571428,1.0142857142857144e-05
Ind75,Gambian,0.6872685714285715,1.0071428571428572e-05,1e-05,0.3127007142857142,1.064285714285714e-05
Ind76,Gambian,0.7202377857142858,0.0019947142857142,0.0010202857142857,0.2746516428571429,0.0020956428571428
Ind77,Gambian,0.781678,1e-05,1e-05,0.218292,1e-05
Ind78,Gambian,0.6678002857142857,1e-05,1e-05,0.3321697142857143,1e-05
Ind79,Gambian,0.7228367857142856,0.0062199999999999,0.0006171428571428,0.2682505,0.0020757142857142
Ind80,Gambian,0.7723496428571429,1e-05,1e-05,0.2274234285714285,0.0002069285714285
Ind81,Gambian,0.6058493571428573,0.0312145,1e-05,0.3180764285714285,0.0448497142857142
Ind82,Gambian,0.8067574999999998,1e-05,1e-05,0.1932125,1e-05
Ind83,Gambian,0.9909985,1e-05,1e-05,0.0089715,1e-05
Ind84,Gambian,0.6403414285714286,1e-05,1e-05,0.3596285714285714,1e-05
Ind85,Gambian,0.8194689285714286,1e-05,1e-05,0.1805010714285714,1e-05
Ind86,Gambian,0.7382337857142858,0.0006113571428571,0.0003173571428571,0.2563899285714285,0.0044477142857142
Ind87,Gambian,0.8566837142857142,1e-05,1e-05,0.1432862857142857,1e-05
Ind88,Gambian,0.8481094999999998,1e-05,1e-05,0.1518604285714286,1.0071428571428572e-05
Ind89,Gambian,0.7333322142857143,0.0004709999999999,0.0027527142857142,0.2631787142857142,0.0002653571428571
Ind90,Gambian,0.646688,1e-05,0.000239,0.3528063571428572,0.0002566428571428
Ind91,Gambian,0.7954769285714285,1e-05,1e-05,0.2044930714285713,1e-05
Ind92,Gambian,0.7858668571428573,0.0121661428571428,1e-05,0.2009026428571428,0.0010544285714285
Ind93,Gambian,0.6123512857142857,1e-05,0.0007956428571428,0.3848475,0.0019957142857142
Ind94,Gambian,0.9997514285714284,1e-05,1e-05,0.0002185714285714,1e-05
Ind95,Gambian,0.6402357857142856,1e-05,1e-05,0.3597342142857143,1e-05
Ind96,Gambian,0.9999599999999998,1e-05,1e-05,1e-05,1e-05
Ind97,Gambian,0.8438024285714285,6.435714285714286e-05,0.0002897142857142,0.1533695714285714,0.0024737857142857
Ind98,Gambian,0.8610879285714285,1e-05,1e-05,0.1388820714285714,1e-05
Ind99,Gambian,0.6770217142857143,1e-05,1e-05,0.3229482857142857,1e-05
Ind100,Gambian,0.9998262857142856,1e-05,1e-05,0.0001437142857142,1e-05
Ind101,Gambian,0.7350057857142858,1.0642857142857145e-05,1e-05,0.2649635714285714,1e-05
Ind102,Gambian,0.7026841428571429,1e-05,1e-05,0.2972858571428571,1e-05
Ind103,Gambian,0.8572219285714284,1e-05,1e-05,0.1426504999999999,0.0001075
Ind104,Gambian,0.7444811428571427,1.0285714285714286e-05,1.05e-05,0.2547432142857143,0.0007549999999999
Ind105,Gambian,0.817816857142857,0.0034002857142857,1e-05,0.1787628571428571,1e-05
Ind106,Gambian,0.904017214285714,1e-05,1e-05,0.0959527857142857,1e-05
Ind107,Gambian,0.8259559285714285,9.3e-05,4.078571428571431e-05,0.1732572142857143,0.0006529285714285
Ind108,Gambian,0.711361,1.0071428571428572e-05,1e-05,0.2886089285714285,1e-05
Ind109,Gambian,0.7204592142857144,0.0010145714285714,0.0001085714285714,0.2784076428571428,1e-05
Ind110,Gambian,0.9986251428571428,1e-05,1e-05,0.0013448571428571,1e-05
Ind111,Gambian,0.9999599999999998,1e-05,1e-05,1e-05,1e-05
Ind112,Gambian,0.8205329999999998,1e-05,1e-05,0.179437,1e-05
Ind113,Gambian,0.6989918571428572,1.0285714285714286e-05,1e-05,0.3009779285714286,1e-05
Ind114,Gambian,0.7740735714285714,1e-05,1.0357142857142856e-05,0.2258959999999999,1e-05
Ind115,Gambian,0.7562644285714286,1e-05,1e-05,0.2437055714285714,1e-05
Ind116,Gambian,0.9163456428571428,1e-05,1e-05,0.0836243571428571,1e-05
Ind117,Gambian,0.7893748571428569,1e-05,1e-05,0.2105951428571428,1e-05
Ind118,Gambian,0.7890926428571428,1.0071428571428572e-05,1e-05,0.2108772857142857,1e-05
Ind119,Gambian,0.642925142857143,1e-05,1e-05,0.3570448571428572,1e-05
Ind120,Gambian,0.6736297142857144,0.0045121428571428,1e-05,0.3218381428571428,1e-05
Ind121,Gambian,0.6876074285714284,1e-05,1e-05,0.3123625714285714,1e-05
Ind122,Gambian,0.8771299285714285,1e-05,1e-05,0.1228400714285714,1e-05
Ind123,Gambian,0.8007476428571428,1e-05,1e-05,0.1992222857142856,1.0071428571428572e-05
Ind124,Gambian,0.7991220714285715,1e-05,1e-05,0.2008479285714285,1e-05
Ind125,Gambian,0.7542784285714285,1e-05,1.0214285714285715e-05,0.2456913571428572,1e-05
Ind126,Gambian,0.963404642857143,1e-05,0.0067750714285714,0.0294651428571428,0.0003449999999999
Ind127,Gambian,0.9998529285714284,1e-05,0.0001163571428571,1.0714285714285716e-05,1e-05
Ind128,Gambian,0.874248642857143,1e-05,1e-05,0.1257213571428571,1e-05
Ind129,Gambian,0.9991642142857142,0.0008057857142857,1e-05,1e-05,1e-05
Ind130,Gambian,0.798266,1e-05,1.0285714285714286e-05,0.2017037142857143,1e-05
Ind131,Gambian,0.7669178571428573,0.0054772142857142,1e-05,0.2039703571428571,0.0236246428571428
Ind132,Cape Verdean,0.3594639285714285,0.3327112857142856,0.0962450714285714,0.1501524285714285,0.0614272857142857
Ind133,Cape Verdean,0.3671911428571429,0.3377571428571428,0.0153329285714285,0.1605350714285714,0.1191837857142857
Ind134,Cape Verdean,0.5567137142857144,0.1910692857142857,0.1601977857142857,0.0552117142857142,0.0368076428571428
Ind135,Cape Verdean,0.6286244285714285,0.1397755,0.043312,0.1295079285714286,0.0587799285714285
Ind136,Cape Verdean,0.7191076428571428,0.1594104285714286,0.0032982142857142,0.0488780714285714,0.0693058571428571
Ind137,Cape Verdean,0.6151587857142857,0.1584329285714285,0.0414419285714285,0.1428734285714285,0.0420927857142857
Ind138,Cape Verdean,0.1642459285714285,0.4514197857142857,0.1810020714285714,0.0355667857142857,0.1677655
Ind139,Cape Verdean,0.3421395,0.3410108571428572,0.1578195714285714,0.1247799285714285,0.0342497857142857
Ind140,Cape Verdean,0.2048933571428572,0.3528032142857143,0.2573873571428571,0.1459857857142857,0.0389304285714285
Ind141,Cape Verdean,0.557967,0.1175199285714285,0.1368971428571428,0.1624724285714285,0.0251434285714285
Ind142,Cape Verdean,0.6391922857142857,0.1371771428571428,0.0221681428571428,0.1612474999999999,0.0402149285714285
Ind143,Cape Verdean,0.097402,0.4819407857142858,0.1834051428571428,0.0028523571428571,0.2343999285714284
Ind144,Cape Verdean,0.1930052142857143,0.5339809285714284,0.1039294285714285,0.1102058571428571,0.0588785
Ind145,Cape Verdean,0.1224008571428571,0.3803182857142856,0.3232700714285714,0.0981002142857142,0.0759106428571428
Ind146,Cape Verdean,0.1443700714285714,0.5670081428571428,0.124814,0.0563692142857142,0.1074383571428571
Ind147,Cape Verdean,0.6503520714285713,0.1337302142857142,0.0510717142857142,0.0940933571428571,0.0707527142857143
Ind148,Cape Verdean,0.5780490714285713,0.1556344285714285,0.014481,0.1957118571428571,0.0561239285714285
Ind149,Cape Verdean,0.5519657142857144,0.1915580714285714,0.1434304285714285,0.0952291428571428,0.0178168571428571
Ind150,Cape Verdean,0.5209439285714286,0.2477532857142856,0.0243488571428571,0.2049442857142857,0.0020095
Ind151,Cape Verdean,0.5961942857142857,0.1853891428571428,0.0341707142857142,0.1830103571428572,0.0012353571428571
Ind152,Cape Verdean,0.6321022857142857,0.1600438571428571,0.0179685,0.1734135,0.0164719285714285
Ind153,Cape Verdean,0.5859635000000001,0.0944239285714285,0.003142,0.3011591428571428,0.0153118571428571
Ind154,Cape Verdean,0.635972857142857,0.1645188571428571,0.1437874999999999,1e-05,0.0557102857142857
Ind155,Cape Verdean,0.6028435714285714,0.2139347142857142,0.0370061428571428,0.0974297857142857,0.0487857857142857
Ind156,Cape Verdean,0.6155200000000001,0.2894727142857142,0.0569692857142857,0.0271997142857142,0.0108383571428571
Ind157,Cape Verdean,0.4955588571428571,0.0312894285714285,0.1613113571428571,0.2368497857142857,0.0749907142857142
Ind158,Cape Verdean,0.6731255714285713,0.0987975714285713,0.0211648571428571,0.1572829285714285,0.0496292142857142
Ind159,Cape Verdean,0.536856,0.1618564285714285,0.0446132857142857,0.2286227142857143,0.0280517857142857
Ind160,Cape Verdean,0.6315112857142857,0.158956,0.0108326428571428,0.1831562142857142,0.0155439285714285
Ind161,Cape Verdean,0.602783,0.0841977857142857,0.0941353571428571,0.1952163571428571,0.0236672857142857
Ind162,Cape Verdean,0.5250464285714285,0.2030292857142857,0.0855935714285714,0.1562299285714285,0.0301009285714285
Ind163,Cape Verdean,0.6669217857142857,0.0823288571428571,0.0401358571428571,0.1620723571428571,0.0485411428571428
Ind164,Cape Verdean,0.648847,0.0476206428571428,0.1471880714285714,0.1563342857142857,1e-05
Ind165,Cape Verdean,0.6042645714285714,0.0435082142857142,0.0901927142857142,0.1774573571428571,0.0845771428571428
Ind166,Cape Verdean,0.5652608571428572,0.1270885,0.0241122142857142,0.2217238571428572,0.0618149285714285
Ind167,Cape Verdean,0.5778408571428572,0.1638753571428571,0.0894879285714285,0.1659297857142857,0.0028661428571428
Ind168,Cape Verdean,0.5382993571428571,0.1771067857142857,0.0125238571428571,0.2573428571428571,0.0147272142857142
Ind169,Cape Verdean,0.6935847142857143,0.1033203571428571,0.0762148571428571,0.1077557142857143,0.0191243571428571
Ind170,Cape Verdean,0.6008048571428571,0.2107995714285713,0.0007959285714285,0.1793609285714286,0.0082387142857142
Ind171,Cape Verdean,0.6852809285714284,0.1171816428571428,0.0737255714285714,0.1088433571428571,0.0149680714285714
Ind172,Cape Verdean,0.480405,0.4185555714285714,0.023968,0.062657,0.0144144285714285
Ind173,Cape Verdean,0.6060930714285714,0.1770297857142857,0.0200004285714285,0.1257299999999999,0.0711467142857142
Ind174,Cape Verdean,0.621144357142857,0.0814977142857142,0.0072606428571428,0.2049624285714285,0.085135
Ind175,Cape Verdean,0.6625124285714287,1e-05,0.0246793571428571,0.2542151428571428,0.0585830714285714
Ind176,Iberian,1.0285714285714286e-05,0.7474084285714285,0.1306233571428571,1e-05,0.1219477857142856
Ind177,Iberian,0.0016209999999999,0.7097693571428569,0.1178007142857142,1e-05,0.1707990714285714
Ind178,Iberian,1e-05,0.7798241428571427,0.0270415,1e-05,0.1931143571428571
Ind179,Iberian,1e-05,0.8577164285714283,0.0412414285714285,1e-05,0.1010222142857142
Ind180,Iberian,1e-05,0.7783578571428571,0.0309052142857142,1e-05,0.190717
Ind181,Iberian,1e-05,0.7511537142857142,0.0687645714285714,1e-05,0.1800617142857143
