name,Population,Cluster1,Cluster2,Cluster3,Cluster4
Ind1,Mandenka,1.005128205128206e-05,1.005128205128206e-05,1.0000000000000008e-05,0.9999698974358971
Ind2,Mandenka,0.0573546923076923,1.0000000000000008e-05,1.0000000000000008e-05,0.9426253076923076
Ind3,Mandenka,0.0191491282051282,1.0000000000000008e-05,1.0000000000000008e-05,0.9808308717948716
Ind4,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05,0.99997
Ind5,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05,0.99997
Ind6,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05,0.99997
Ind7,Mandenka,0.3356391538461538,1.0000000000000008e-05,1.0000000000000008e-05,0.664340846153846
Ind8,Mandenka,0.131457923076923,1.0000000000000008e-05,1.0000000000000008e-05,0.8685220769230769
Ind9,Mandenka,0.0454822307692307,1.0000000000000008e-05,1.0000000000000008e-05,0.9544977692307696
Ind10,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05,0.99997
Ind11,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05,0.99997
Ind12,Mandenka,0.0207811025641025,1.0000000000000008e-05,1.0000000000000008e-05,0.9791988974358976
Ind13,Mandenka,0.1071852307692308,1.0000000000000008e-05,1.0102564102564111e-05,0.8927946666666668
Ind14,Mandenka,0.4791915384615384,0.0270981282051282,1.0000000000000008e-05,0.4937005641025641
Ind15,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05,0.99997
Ind16,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05,0.99997
Ind17,Mandenka,1.0000000000000008e-05,1.0076923076923083e-05,1.0000000000000008e-05,0.999969923076923
Ind18,Mandenka,0.0492076153846153,1.005128205128206e-05,1.0000000000000008e-05,0.9507723333333334
Ind19,Mandenka,0.0064385384615384,1.0076923076923083e-05,1.0000000000000008e-05,0.9935413846153848
Ind20,Mandenka,0.4535036923076921,1.0000000000000008e-05,1.0000000000000008e-05,0.5464763076923077
Ind21,Mandenka,1.0000000000000008e-05,1.0000000000000008e-05,1.0025641025641032e-05,0.9999699743589744
Ind22,Mandenka,0.491841794871795,1.05897435897436e-05,1.0000000000000008e-05,0.5081376153846153
Ind23,Gambian,0.9997221025641024,1.0000000000000008e-05,1.0000000000000008e-05,0.0002578974358974
Ind24,Gambian,0.9761513589743592,0.023828641025641,1.0000000000000008e-05,1.0000000000000008e-05
Ind25,Gambian,0.7218498461538464,1.0000000000000008e-05,1.0076923076923088e-05,0.2781300769230769
Ind26,Gambian,0.8040683076923076,1.0000000000000008e-05,1.0000000000000008e-05,0.1959116923076923
Ind27,Gambian,0.7580382820512819,0.0257168974358974,1.0000000000000008e-05,0.2162348205128205
Ind28,Gambian,0.751857641025641,1.0000000000000008e-05,1.0000000000000008e-05,0.248122358974359
Ind29,Gambian,0.7504631794871793,1.0717948717948728e-05,1.0000000000000008e-05,0.2495161282051281
Ind30,Gambian,0.6246498461538463,1.0205128205128217e-05,1.0000000000000008e-05,0.3753299487179487
Ind31,Gambian,0.7178208717948718,1.023076923076924e-05,1.028205128205129e-05,0.2821585897435897
Ind32,Gambian,0.717502641025641,1.0000000000000008e-05,0.0014515641025641,0.2810359230769231
Ind33,Gambian,0.6441792051282051,0.0223446666666666,1.0000000000000008e-05,0.3334660512820513
Ind34,Gambian,0.7765658205128206,1.0179487179487189e-05,1.0000000000000008e-05,0.2234140256410257
Ind35,Gambian,0.906912692307692,1.0076923076923088e-05,1.0000000000000008e-05,0.0930672307692307
Ind36,Gambian,0.99997,1.0000000000000008e-05,1.0000000000000008e-05,1.0000000000000008e-05
Ind37,Gambian,0.8028583846153848,1.017948717948719e-05,1.0000000000000008e-05,0.1971214358974359
Ind38,Gambian,0.7378500769230768,1.0000000000000008e-05,1.0000000000000008e-05,0.262129923076923
Ind39,Gambian,0.6782917179487178,1.0076923076923088e-05,1.0000000000000008e-05,0.3216882051282051
Ind40,Gambian,0.8869737179487179,1.0000000000000008e-05,1.0000000000000008e-05,0.113006282051282
Ind41,Gambian,0.8750991538461539,1.0102564102564111e-05,1.0000000000000008e-05,0.1248807435897436
Ind42,Gambian,0.9999698205128204,1.0179487179487189e-05,1.0000000000000008e-05,1.0000000000000008e-05
Ind43,Gambian,0.7806239743589743,0.0169596153846153,1.0000000000000008e-05,0.2024064102564102
Ind44,Gambian,0.7072769487179489,0.0483880256410256,1.0000000000000008e-05,0.2443249743589742
Ind45,Gambian,0.6813261282051283,1.0000000000000008e-05,1.0256410256410266e-05,0.3186536410256411
Ind46,Gambian,0.7879397435897435,1.0000000000000008e-05,1.0000000000000008e-05,0.2120402564102564
Ind47,Gambian,0.8841936410256411,1.0000000000000008e-05,1.0000000000000008e-05,0.1157863589743589
Ind48,Gambian,0.7153275384615382,1.0000000000000008e-05,1.0205128205128217e-05,0.2846522820512819
Ind49,Gambian,0.806328641025641,1.0000000000000008e-05,1.0000000000000008e-05,0.193651358974359
Ind50,Gambian,0.634181948717949,0.0148673589743589,1.0000000000000008e-05,0.3509407692307692
