name,Population,Cluster1,Cluster2
Ind1,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind2,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind3,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind4,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind5,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind6,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind7,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind8,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind9,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind10,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind11,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind12,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind13,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind14,Mandenka,0.9719949999999998,0.0280049999999999
Ind15,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind16,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind17,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind18,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind19,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind20,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind21,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind22,Mandenka,0.999989999999999,1.0000000000000013e-05
Ind23,Gambian,0.999989999999999,1.0000000000000013e-05
Ind24,Gambian,0.9686770199999996,0.0313229799999999
Ind25,Gambian,0.999989999999999,1.0000000000000013e-05
Ind26,Gambian,0.999989999999999,1.0000000000000013e-05
Ind27,Gambian,0.9742110199999992,0.02578898
Ind28,Gambian,0.999989999999999,1.0000000000000013e-05
Ind29,Gambian,0.999989999999999,1.0000000000000013e-05
Ind30,Gambian,0.999989999999999,1.0000000000000013e-05
Ind31,Gambian,0.999989999999999,1.0000000000000013e-05
Ind32,Gambian,0.998263000000001,0.001737
Ind33,Gambian,0.9791859999999992,0.020814
Ind34,Gambian,0.999989999999999,1.0000000000000013e-05
