name,Population,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5
Ind1,Mandenka,0.2005588333333333,1.0055555555555557e-05,1e-05,0.7994111111111111,1e-05
Ind2,Mandenka,0.2403453888888888,1e-05,1e-05,0.7594958333333331,0.0001387777777777
Ind3,Mandenka,0.2284267777777776,1e-05,1e-05,0.771543222222222,1e-05
Ind4,Mandenka,0.1666683333333333,1e-05,1e-05,0.8333016666666666,1e-05
Ind5,Mandenka,0.1666683333333333,1e-05,1e-05,0.8333016666666666,1e-05
Ind6,Mandenka,0.1979773888888888,1.0388888888888887e-05,1e-05,0.8019922222222221,1e-05
Ind7,Mandenka,0.4615057222222221,1e-05,1e-05,0.5384642777777777,1e-05
Ind8,Mandenka,0.2626170555555555,1e-05,1e-05,0.7373529444444443,1e-05
Ind9,Mandenka,0.234065111111111,1e-05,1e-05,0.7659048888888886,1e-05
Ind10,Mandenka,0.1666683333333333,1e-05,1e-05,0.8333016666666666,1e-05
Ind11,Mandenka,0.1666682777777778,1e-05,1e-05,0.8333017222222222,1e-05
Ind12,Mandenka,0.2152431666666667,1e-05,1e-05,0.7846944999999999,4.23888888888889e-05
Ind13,Mandenka,0.253735111111111,1e-05,1e-05,0.7462348888888887,1e-05
Ind14,Mandenka,0.5729212777777778,0.0204038888888888,1e-05,0.4018938333333332,0.0047710555555555
Ind15,Mandenka,0.1991190555555556,1e-05,1e-05,0.8008509444444442,1e-05
Ind16,Mandenka,0.2017718888888889,1e-05,1e-05,0.7981981111111108,1e-05
Ind17,Mandenka,0.2011148333333333,1.0388888888888887e-05,1e-05,0.7988547777777776,1e-05
Ind18,Mandenka,0.2492538333333332,1e-05,1e-05,0.7507161666666665,1e-05
Ind19,Mandenka,0.211786,1e-05,1e-05,0.7881836111111109,1.0388888888888887e-05
Ind20,Mandenka,0.5570455555555557,1e-05,1e-05,0.4429241111111111,1.0333333333333332e-05
Ind21,Mandenka,0.1666683333333333,1e-05,1e-05,0.8333016666666666,1e-05
Ind22,Mandenka,0.5883167777777778,1e-05,1e-05,0.4116532222222222,1e-05
Ind23,Gambian,0.9999488333333332,1e-05,1e-05,2.1166666666666675e-05,1e-05
Ind24,Gambian,0.9724317777777776,0.0057508333333333,1e-05,0.0037521111111111,0.0180552777777777
Ind25,Gambian,0.7748012777777777,1e-05,1e-05,0.2251687222222222,1e-05
Ind26,Gambian,0.8444994444444444,1e-05,1e-05,0.1554701111111111,1.0444444444444443e-05
